window,rms,norm,relative_to_global_output
324,0.0022160308435559273,0.003133940976113081,0.011084872297942638
325,0.0022477484308183193,0.0031787962652742863,0.011115098372101784
326,0.0022265498992055655,0.0031488172244280577,0.011124033480882645
327,0.0022561000660061836,0.0031906075309962034,0.01113214623183012
328,0.0023147594183683395,0.003273564390838146,0.011199773289263248
329,0.0022694040089845657,0.0032094218768179417,0.011154210194945335
330,0.0022399136796593666,0.003167716320604086,0.011117396876215935
331,0.002229224657639861,0.0031525995582342148,0.01117318868637085
332,0.0023047502618283033,0.003259408986195922,0.011184503324329853
333,0.002302273642271757,0.0032559065148234367,0.01115152146667242
334,0.00231793406419456,0.00327805383130908,0.011242024600505829
335,0.0022819421719759703,0.0032271535601466894,0.011140739545226097
336,0.0023017805069684982,0.0032552091870456934,0.011211994104087353
337,0.0023045248817652464,0.0032590902410447598,0.011161374859511852
338,0.002310361247509718,0.003267344320192933,0.0111763384193182
339,0.0022908265236765146,0.003239717800170183,0.011155134066939354
340,0.0022346347104758024,0.0031602508388459682,0.011196606792509556
341,0.002245107898488641,0.0031750621274113655,0.011101041920483112
342,0.002246946794912219,0.003177662380039692,0.01106810662895441
343,0.002299010753631592,0.0032512922771275043,0.011158368550240993
344,0.0023140173871070147,0.0032725147902965546,0.011255384422838688
345,0.002248886041343212,0.003180404892191291,0.01111124362796545
346,0.002301465952768922,0.0032547644805163145,0.011215451173484325
347,0.002280689077451825,0.003225381253287196,0.011140726506710052
348,0.0022765062749385834,0.0032194664236158133,0.011119694449007511
349,0.002297836123034358,0.003249631030485034,0.011064263060688972
350,0.002324833534657955,0.0032878112979233265,0.01120232604444027
351,0.0023029656149446964,0.003256885102018714,0.011160606518387794
352,0.002285467693582177,0.0032321391627192497,0.01115852128714323
353,0.002287574578076601,0.003235118929296732,0.011120671406388283
354,0.002299210289493203,0.003251574467867613,0.011176648549735546
355,0.0022734554950147867,0.0032151516061276197,0.0111562954261899
356,0.002247525379061699,0.0031784805469214916,0.011170907877385616
357,0.002233089879155159,0.003158066188916564,0.011115125380456448
358,0.002263183705508709,0.003200625069439411,0.011123279109597206
359,0.002289785537868738,0.0032382458448410034,0.01113169640302658
360,0.0023128665052354336,0.0032708870712667704,0.011191684752702713
361,0.0022682941053062677,0.0032078521326184273,0.011163336224853992
362,0.0022675369400531054,0.003206781344488263,0.011105747893452644
363,0.0022588944993913174,0.0031945588998496532,0.011161724105477333
364,0.0022386943455785513,0.0031659917440265417,0.01106693223118782
365,0.0015337918885052204,0.002169109182432294,0.010367822833359241
366,0.0015336987562477589,0.0021689776331186295,0.010414594784379005
367,0.0015073140384629369,0.0021316639613360167,0.01030837930738926
368,0.0015257169725373387,0.0021576895378530025,0.010386581532657146
369,0.0015515420818701386,0.002194211818277836,0.010409874841570854
370,0.0015438036061823368,0.002183268079534173,0.01040394976735115
371,0.0015297739300876856,0.002163426950573921,0.010338777676224709
372,0.0015329014277085662,0.0021678500343114138,0.01042225118726492
373,0.001534449984319508,0.002170040039345622,0.010389968752861023
374,0.0015390785411000252,0.002176585840061307,0.010396710596978664
375,0.0015413963701575994,0.002179863629862666,0.010382141917943954
376,0.0015287623973563313,0.002161996439099312,0.010358213447034359
377,0.0015171420527622104,0.002145563019439578,0.010353073477745056
378,0.0015473482199013233,0.002188280690461397,0.01037677563726902
379,0.0015510915545746684,0.002193574793636799,0.010423277504742146
380,0.001531311427243054,0.0021656013559550047,0.010397546924650669
381,0.0015338582452386618,0.0021692030131816864,0.01039380207657814
382,0.0015418899711221457,0.0021805614233016968,0.010438969358801842
383,0.0015277500497177243,0.002160564996302128,0.010431296192109585
